1.90e-09 3.24e-09 5.43e-09 8.93e-09 1.44e-08 2.29e-08 3.56e-08 5.45e-08 8.19e-08 1.21e-07 1.75e-07 2.49e-07 3.48e-07 4.78e-07 6.45e-07 8.53e-07 1.11e-06 1.42e-06 1.78e-06 2.19e-06 2.64e-06 3.14e-06 3.66e-06 4.19e-06 4.72e-06 5.21e-06 5.65e-06 6.02e-06 6.30e-06 6.48e-06 6.54e-06 6.48e-06 6.30e-06 6.02e-06 5.65e-06 5.21e-06 4.72e-06 4.19e-06 3.66e-06 3.14e-06 2.64e-06 2.19e-06 1.78e-06 1.42e-06 1.11e-06 8.53e-07 6.45e-07 4.78e-07 3.48e-07 2.49e-07 1.75e-07 1.21e-07 8.19e-08 5.45e-08 3.56e-08 2.29e-08 1.44e-08 8.93e-09 5.43e-09 3.24e-09
3.05e-09 5.20e-09 8.71e-09 1.43e-08 2.31e-08 3.67e-08 5.72e-08 8.75e-08 1.31e-07 1.94e-07 2.81e-07 4.00e-07 5.59e-07 7.67e-07 1.03e-06 1.37e-06 1.78e-06 2.27e-06 2.85e-06 3.51e-06 4.24e-06 5.04e-06 5.88e-06 6.73e-06 7.57e-06 8.36e-06 9.07e-06 9.66e-06 1.01e-05 1.04e-05 1.05e-05 1.04e-05 1.01e-05 9.66e-06 9.07e-06 8.36e-06 7.57e-06 6.73e-06 5.88e-06 5.04e-06 4.24e-06 3.51e-06 2.85e-06 2.27e-06 1.78e-06 1.37e-06 1.03e-06 7.67e-07 5.59e-07 4.00e-07 2.81e-07 1.94e-07 1.31e-07 8.75e-08 5.72e-08 3.67e-08 2.31e-08 1.43e-08 8.71e-09 5.20e-09
4.77e-09 8.14e-09 1.36e-08 2.24e-08 3.62e-08 5.75e-08 8.95e-08 1.37e-07 2.06e-07 3.04e-07 4.40e-07 6.26e-07 8.75e-07 1.20e-06 1.62e-06 2.14e-06 2.79e-06 3.56e-06 4.46e-06 5.49e-06 6.64e-06 7.89e-06 9.20e-06 1.05e-05 1.19e-05 1.31e-05 1.42e-05 1.51e-05 1.58e-05 1.63e-05 1.64e-05 1.63e-05 1.58e-05 1.51e-05 1.42e-05 1.31e-05 1.19e-05 1.05e-05 9.20e-06 7.89e-06 6.64e-06 5.49e-06 4.46e-06 3.56e-06 2.79e-06 2.14e-06 1.62e-06 1.20e-06 8.75e-07 6.26e-07 4.40e-07 3.04e-07 2.06e-07 1.37e-07 8.95e-08 5.75e-08 3.62e-08 2.24e-08 1.36e-08 8.14e-09
7.30e-09 1.24e-08 2.08e-08 3.43e-08 5.54e-08 8.78e-08 1.37e-07 2.09e-07 3.15e-07 4.64e-07 6.73e-07 9.57e-07 1.34e-06 1.84e-06 2.48e-06 3.28e-06 4.26e-06 5.44e-06 6.82e-06 8.40e-06 1.02e-05 1.21e-05 1.41e-05 1.61e-05 1.81e-05 2.00e-05 2.17e-05 2.31e-05 2.42e-05 2.49e-05 2.51e-05 2.49e-05 2.42e-05 2.31e-05 2.17e-05 2.00e-05 1.81e-05 1.61e-05 1.41e-05 1.21e-05 1.02e-05 8.40e-06 6.82e-06 5.44e-06 4.26e-06 3.28e-06 2.48e-06 1.84e-06 1.34e-06 9.57e-07 6.73e-07 4.64e-07 3.15e-07 2.09e-07 1.37e-07 8.78e-08 5.54e-08 3.43e-08 2.08e-08 1.24e-08
1.09e-08 1.86e-08 3.11e-08 5.11e-08 8.26e-08 1.31e-07 2.04e-07 3.12e-07 4.69e-07 6.93e-07 1.00e-06 1.43e-06 2.00e-06 2.74e-06 3.69e-06 4.89e-06 6.35e-06 8.11e-06 1.02e-05 1.25e-05 1.51e-05 1.80e-05 2.10e-05 2.40e-05 2.70e-05 2.99e-05 3.24e-05 3.45e-05 3.61e-05 3.71e-05 3.74e-05 3.71e-05 3.61e-05 3.45e-05 3.24e-05 2.99e-05 2.70e-05 2.40e-05 2.10e-05 1.80e-05 1.51e-05 1.25e-05 1.02e-05 8.11e-06 6.35e-06 4.89e-06 3.69e-06 2.74e-06 2.00e-06 1.43e-06 1.00e-06 6.93e-07 4.69e-07 3.12e-07 2.04e-07 1.31e-07 8.26e-08 5.11e-08 3.11e-08 1.86e-08
1.59e-08 2.70e-08 4.53e-08 7.45e-08 1.20e-07 1.91e-07 2.97e-07 4.55e-07 6.83e-07 1.01e-06 1.46e-06 2.08e-06 2.91e-06 3.99e-06 5.38e-06 7.12e-06 9.25e-06 1.18e-05 1.48e-05 1.82e-05 2.21e-05 2.62e-05 3.05e-05 3.50e-05 3.94e-05 4.35e-05 4.72e-05 5.02e-05 5.26e-05 5.40e-05 5.45e-05 5.40e-05 5.26e-05 5.02e-05 4.72e-05 4.35e-05 3.94e-05 3.50e-05 3.05e-05 2.62e-05 2.21e-05 1.82e-05 1.48e-05 1.18e-05 9.25e-06 7.12e-06 5.38e-06 3.99e-06 2.91e-06 2.08e-06 1.46e-06 1.01e-06 6.83e-07 4.55e-07 2.97e-07 1.91e-07 1.20e-07 7.45e-08 4.53e-08 2.70e-08
2.25e-08 3.84e-08 6.43e-08 1.06e-07 1.71e-07 2.71e-07 4.22e-07 6.46e-07 9.71e-07 1.43e-06 2.08e-06 2.96e-06 4.13e-06 5.67e-06 7.64e-06 1.01e-05 1.32e-05 1.68e-05 2.11e-05 2.59e-05 3.13e-05 3.72e-05 4.34e-05 4.97e-05 5.59e-05 6.18e-05 6.70e-05 7.14e-05 7.47e-05 7.68e-05 7.75e-05 7.68e-05 7.47e-05 7.14e-05 6.70e-05 6.18e-05 5.59e-05 4.97e-05 4.34e-05 3.72e-05 3.13e-05 2.59e-05 2.11e-05 1.68e-05 1.32e-05 1.01e-05 7.64e-06 5.67e-06 4.13e-06 2.96e-06 2.08e-06 1.43e-06 9.71e-07 6.46e-07 4.22e-07 2.71e-07 1.71e-07 1.06e-07 6.43e-08 3.84e-08
3.12e-08 5.33e-08 8.93e-08 1.47e-07 2.37e-07 3.76e-07 5.86e-07 8.97e-07 1.35e-06 1.99e-06 2.88e-06 4.10e-06 5.73e-06 7.86e-06 1.06e-05 1.40e-05 1.82e-05 2.33e-05 2.92e-05 3.60e-05 4.35e-05 5.16e-05 6.02e-05 6.90e-05 7.76e-05 8.57e-05 9.30e-05 9.90e-05 1.04e-04 1.06e-04 1.07e-04 1.06e-04 1.04e-04 9.90e-05 9.30e-05 8.57e-05 7.76e-05 6.90e-05 6.02e-05 5.16e-05 4.35e-05 3.60e-05 2.92e-05 2.33e-05 1.82e-05 1.40e-05 1.06e-05 7.86e-06 5.73e-06 4.10e-06 2.88e-06 1.99e-06 1.35e-06 8.97e-07 5.86e-07 3.76e-07 2.37e-07 1.47e-07 8.93e-08 5.33e-08
4.23e-08 7.22e-08 1.21e-07 1.99e-07 3.21e-07 5.09e-07 7.93e-07 1.21e-06 1.82e-06 2.69e-06 3.90e-06 5.55e-06 7.76e-06 1.06e-05 1.44e-05 1.90e-05 2.47e-05 3.15e-05 3.95e-05 4.87e-05 5.89e-05 6.99e-05 8.15e-05 9.34e-05 1.05e-04 1.16e-04 1.26e-04 1.34e-04 1.40e-04 1.44e-04 1.45e-04 1.44e-04 1.40e-04 1.34e-04 1.26e-04 1.16e-04 1.05e-04 9.34e-05 8.15e-05 6.99e-05 5.89e-05 4.87e-05 3.95e-05 3.15e-05 2.47e-05 1.90e-05 1.44e-05 1.06e-05 7.76e-06 5.55e-06 3.90e-06 2.69e-06 1.82e-06 1.21e-06 7.93e-07 5.09e-07 3.21e-07 1.99e-07 1.21e-07 7.22e-08
5.59e-08 9.54e-08 1.60e-07 2.63e-07 4.24e-07 6.73e-07 1.05e-06 1.60e-06 2.41e-06 3.56e-06 5.15e-06 7.34e-06 1.03e-05 1.41e-05 1.90e-05 2.51e-05 3.26e-05 4.17e-05 5.22e-05 6.43e-05 7.78e-05 9.24e-05 1.08e-04 1.23e-04 1.39e-04 1.53e-04 1.66e-04 1.77e-04 1.85e-04 1.91e-04 1.92e-04 1.91e-04 1.85e-04 1.77e-04 1.66e-04 1.53e-04 1.39e-04 1.23e-04 1.08e-04 9.24e-05 7.78e-05 6.43e-05 5.22e-05 4.17e-05 3.26e-05 2.51e-05 1.90e-05 1.41e-05 1.03e-05 7.34e-06 5.15e-06 3.56e-06 2.41e-06 1.60e-06 1.05e-06 6.73e-07 4.24e-07 2.63e-07 1.60e-07 9.54e-08
